sample_id,dataset,method,label,answer,num_nodes,num_edges,num_induced_nodes,num_induced_edges,num_candidates,num_selected,objective,mean_pairwise_similarity,latency_sec,selected_node_count,selected_edge_count,llm_eval_ready
0,explaGraphs,osrcd,support,support,5,4,5,4,6,1,0.9687654762829451,0.0,0.32665348052978516,5.0,4.0,1.0
1,explaGraphs,osrcd,counter,counter,6,5,6,5,10,1,0.9570946348028809,0.0,0.03357052803039551,6.0,5.0,1.0
2,explaGraphs,osrcd,support,support,4,3,4,3,3,1,0.9808810843286474,0.0,0.0183870792388916,4.0,3.0,1.0
3,explaGraphs,osrcd,counter,counter,6,5,6,5,10,1,0.9530892600791063,0.0,0.0334317684173584,6.0,5.0,1.0
4,explaGraphs,osrcd,support,support,5,4,5,4,6,1,0.9604211494218775,0.0,0.02505350112915039,5.0,4.0,1.0
5,explaGraphs,osrcd,counter,counter,6,5,6,5,12,1,0.9474487787773538,0.0,0.037468671798706055,6.0,5.0,1.0
6,explaGraphs,osrcd,support,support,6,5,6,5,10,1,0.9805468853131055,0.0,0.03308224678039551,6.0,5.0,1.0
7,explaGraphs,osrcd,support,support,6,5,6,5,10,1,0.9604104237523979,0.0,0.033211469650268555,6.0,5.0,1.0
8,explaGraphs,osrcd,support,support,7,6,7,6,14,1,0.9399710009565864,0.0,0.058501482009887695,7.0,6.0,1.0
9,explaGraphs,osrcd,support,support,5,4,5,4,8,1,0.9566984929789878,0.0,0.027977705001831055,5.0,4.0,1.0
10,explaGraphs,osrcd,support,support,8,7,8,7,18,1,0.9583096116895077,0.0,0.06581902503967285,8.0,7.0,1.0
11,explaGraphs,osrcd,counter,counter,4,3,4,3,4,1,0.9690520323752935,0.0,0.022171497344970703,4.0,3.0,1.0
12,explaGraphs,osrcd,counter,counter,7,6,7,6,14,1,0.9583926917359483,0.0,0.04613161087036133,7.0,6.0,1.0
13,explaGraphs,osrcd,support,support,5,4,5,4,6,1,0.9807380838202014,0.0,0.024651288986206055,5.0,4.0,1.0
14,explaGraphs,osrcd,support,support,6,5,6,5,12,1,0.9542783499894877,0.0,0.037145137786865234,6.0,5.0,1.0
15,explaGraphs,osrcd,support,support,4,3,4,3,3,1,0.9895614242756648,0.0,0.01792168617248535,4.0,3.0,1.0
16,explaGraphs,osrcd,support,support,5,4,5,4,8,1,0.9709788431311386,0.0,0.024579763412475586,5.0,4.0,1.0
17,explaGraphs,osrcd,counter,counter,4,3,4,3,3,1,0.9829320006434,0.0,0.01903820037841797,4.0,3.0,1.0
18,explaGraphs,osrcd,support,support,7,6,7,6,14,1,0.9320396813178721,0.0,0.046022891998291016,7.0,6.0,1.0
19,explaGraphs,osrcd,support,support,4,3,4,3,3,1,0.9833591219969195,0.0,0.019177913665771484,4.0,3.0,1.0
20,explaGraphs,osrcd,counter,counter,7,6,7,6,14,1,0.9568131670863956,0.0,0.045598506927490234,7.0,6.0,1.0
21,explaGraphs,osrcd,support,support,8,7,8,7,18,1,0.958993862032536,0.0,0.06497001647949219,8.0,7.0,1.0
22,explaGraphs,osrcd,support,support,4,3,4,3,4,1,0.9737513022283559,0.0,0.021459102630615234,4.0,3.0,1.0
23,explaGraphs,osrcd,support,support,7,6,7,6,14,1,0.9439977901685064,0.0,0.04733729362487793,7.0,6.0,1.0
24,explaGraphs,osrcd,counter,counter,6,5,6,5,10,1,0.9553156629050148,0.0,0.0332028865814209,6.0,5.0,1.0
25,explaGraphs,osrcd,counter,counter,5,4,5,4,8,1,0.9835956741355183,0.0,0.02705073356628418,5.0,4.0,1.0
26,explaGraphs,osrcd,support,support,5,4,5,4,6,1,0.9560190514277068,0.0,0.02452254295349121,5.0,4.0,1.0
27,explaGraphs,osrcd,support,support,4,3,4,3,3,1,0.9693826538288743,0.0,0.020183801651000977,4.0,3.0,1.0
28,explaGraphs,osrcd,counter,counter,6,5,6,5,10,1,0.9646445784896885,0.0,0.03251528739929199,6.0,5.0,1.0
29,explaGraphs,osrcd,support,support,5,4,5,4,6,1,0.9392389590545552,0.0,0.024806976318359375,5.0,4.0,1.0
30,explaGraphs,osrcd,counter,counter,6,5,6,5,10,1,0.9564173832859588,0.0,0.03258156776428223,6.0,5.0,1.0
31,explaGraphs,osrcd,support,support,4,3,4,3,3,1,0.9443174399355264,0.0,0.020314693450927734,4.0,3.0,1.0
32,explaGraphs,osrcd,support,support,5,4,5,4,8,1,0.9626909600844827,0.0,0.026692628860473633,5.0,4.0,1.0
33,explaGraphs,osrcd,support,support,4,3,4,3,3,1,0.9476643765378582,0.0,0.020853519439697266,4.0,3.0,1.0
34,explaGraphs,osrcd,support,support,5,4,5,4,6,1,0.9405743610283526,0.0,0.02423262596130371,5.0,4.0,1.0
35,explaGraphs,osrcd,counter,counter,6,5,6,5,10,1,0.9637972076963299,0.0,0.032936811447143555,6.0,5.0,1.0
36,explaGraphs,osrcd,support,support,4,3,4,3,3,1,0.9440700307377874,0.0,0.02083587646484375,4.0,3.0,1.0
37,explaGraphs,osrcd,support,support,5,4,5,4,6,1,0.9573952785869496,0.0,0.02385568618774414,5.0,4.0,1.0
38,explaGraphs,osrcd,support,support,4,3,4,3,3,1,0.9506609899832665,0.0,0.02094435691833496,4.0,3.0,1.0
39,explaGraphs,osrcd,support,support,4,3,4,3,4,1,0.9798569690059014,0.0,0.018524885177612305,4.0,3.0,1.0
40,explaGraphs,osrcd,support,support,5,4,5,4,6,1,0.9472509951790828,0.0,0.024686574935913086,5.0,4.0,1.0
41,explaGraphs,osrcd,support,support,6,5,6,5,10,1,0.9686510466521399,0.0,0.032575368881225586,6.0,5.0,1.0
42,explaGraphs,osrcd,counter,counter,4,3,4,3,3,1,0.960069856735035,0.0,0.02071380615234375,4.0,3.0,1.0
43,explaGraphs,osrcd,counter,counter,8,7,8,7,18,1,0.9326541001302641,0.0,0.06447529792785645,8.0,7.0,1.0
44,explaGraphs,osrcd,support,support,7,6,7,6,14,1,0.9559455090202692,0.0,0.04662799835205078,7.0,6.0,1.0
45,explaGraphs,osrcd,support,support,4,3,4,3,3,1,0.9543147815486333,0.0,0.020865678787231445,4.0,3.0,1.0
46,explaGraphs,osrcd,support,support,5,4,5,4,6,1,0.9438030401313214,0.0,0.024405717849731445,5.0,4.0,1.0
47,explaGraphs,osrcd,support,support,5,4,5,4,6,1,0.9454131182439643,0.0,0.024117708206176758,5.0,4.0,1.0
48,explaGraphs,osrcd,support,support,5,4,5,4,6,1,0.9839296490433904,0.0,0.0222933292388916,5.0,4.0,1.0
49,explaGraphs,osrcd,counter,counter,4,3,4,3,3,1,0.9660352014031853,0.0,0.01902604103088379,4.0,3.0,1.0
50,explaGraphs,osrcd,counter,counter,4,3,4,3,3,1,0.9385257942732527,0.0,0.020598411560058594,4.0,3.0,1.0
51,explaGraphs,osrcd,support,support,6,5,6,5,10,1,0.9659598565510608,0.0,0.03305196762084961,6.0,5.0,1.0
52,explaGraphs,osrcd,support,support,7,6,7,6,14,1,0.9574886525586703,0.0,0.04632115364074707,7.0,6.0,1.0
53,explaGraphs,osrcd,support,support,5,4,5,4,8,1,0.9561341890241711,0.0,0.027879953384399414,5.0,4.0,1.0
